ISO,MARKET,MCODE,ALT_NAME,lat,lng
AGO,"Huambo, Alemanha",1,Huambo,-12.75,15.76
AGO,Luanda,2,,-8.8383,13.2344
AGO,"Luanda, 30 Market",3,Luanda,-8.8383,13.2344
BDI,Bujumbura,4,,-3.3761,29.36
BEN,Abomey,5,,7.1904,1.99
BEN,Cotonou,6,,6.4,2.52
BEN,Natitingou,7,,10.3204,1.39
BEN,Parakou,8,,9.34,2.62
CAF,Bangui,9,,4.3666,18.5583
CMR,Bafoussam,10,,5.4904,10.4099
CMR,Bamenda,11,,5.96,10.15
CMR,Douala,12,,4.0604,9.71
CMR,Garoua,13,,9.3,13.39
CMR,Yaunde,14,,3.8667,11.5167
COD,Bukavu,15,,-2.51,28.84
COD,Goma,16,,-1.6788,29.2218
COD,Lubumbashi,17,,-11.68,27.48
CPV,S.Antpo,18,,17.07,-25.171
CPV,S.Vincente,19,,16.85,-24.966667
CPV,Santiago,20,,15.066667,-23.633333
EGY,Lower Egypt,21,Memphis,29.844722,31.250833
EGY,Upper Egypt,22,Thinis,26.333333,31.9
GIN,Conakry,23,,9.5315,-13.6802
KEN,Nairobi,24,,-1.2833,36.8167
LSO,Maseru,25,,-29.3167,27.4833
LSO,Mokhotlong,26,,-29.291,29.078
LSO,Mount Moorosi,27,Mohales Hoek,-30.159,27.48
LSO,Qacha's Nek,28,,-30.1154,28.683889
MAR,National Average,29,Rabbat,34.033333,-6.833333
MOZ,Angonia,30,Tete,-16.17,33.58
MOZ,Chokwe,31,,-24.5252778,33.0086111
MOZ,Gorongosa,32,,-18.683333,34.066667
MOZ,Manica,33,,-18.9696,32.88
MOZ,Maputo,34,,-25.9553,32.5892
MOZ,Maxixe,35,,-23.866,35.3886
MOZ,Milange,36,,-16.1,35.766667
MOZ,Montepuez,37,,-13.1196,39
MOZ,Nampula,38,,-15.136,39.293
MOZ,Ribaue,39,,-15.049444,38.281389
MRT,Aoujeft,40,Akjoujt,19.747,-14.391
MRT,Boghé,41,Bogue,16.5904,-14.27
MRT,Kankossa,42,,15.933333,-11.533333
MRT,Magta-lahjar,43,,17.448333,-13.138889
MRT,Nouadhibou,44,,20.9,-17.056
MRT,"Nouakchott, Marché SCIM",45,Nouakchott,18.0864,-15.9753
MRT,Tintane,46,,16.4,-10.166667
MWI,Lilongwe,47,,-13.9833,33.7833
MWI,Liwonde,48,,-15.066667,35.233333
MWI,Lizulu,49,Lizulu,-14.516667,34.466667
MWI,Mzimba,50,Mzimba,-11.9,33.6
MWI,Mzuzu,51,,-11.46,34.02
MWI,National Average,52,Lilongwe,-13.9833,33.7833
MWI,Nsanje,53,,-16.9167,35.2667
NAM,Gobabis,54,,-22.455,18.963
NAM,Katima,55,,-17.503889,24.275
NAM,Keetmanshoop,56,,-26.5739,18.13
NAM,Mariental,57,,-24.6196,17.9599
NAM,Oshakati,58,,-17.7833,15.6833
NAM,Otjiwarongo,59,,-20.4595,16.64
NAM,Swakopmund,60,,-22.6689,14.535
NAM,Windhoek,61,,-22.57,17.0835
NER,Agadez,62,,16.9959,7.9828
NER,Dosso,63,,13.05,3.2
NER,Maradi,64,,13.4916,7.0964
NER,Niamey,65,,13.5167,2.1167
NER,Tillaberi,66,,14.212,14.212
NER,Zinder,67,,13.8,8.9833
NGA,Aba,68,,5.1004,7.35
NGA,Biu,69,,10.6204,12.19
NGA,Damaturu,70,,11.749,11.966
NGA,Dandume,71,,11.416667,7.2
NGA,Giwa,72,,11.280164,7.417857
NGA,Gombe,73,,10.2904,11.17
NGA,Gujungu,74,,12.34877,9.55041
NGA,"Gwandu, Dodoru",75,,12.43204,4.65284
NGA,"Ibadan, Bodija",76,,7.396389,3.916667
NGA,"Kano, Dawanau",77,,12,8.516667
NGA,Kaura Namoda,78,,12.59371,6.58648
NGA,"Lagos, Mile 12",79,Lagos,6.4433,3.3915
NGA,Maiduguri,80,,11.85,13.16
NGA,Mubi,81,,10.2703,13.27
NGA,Potiskum,82,,11.7104,11.08
NGA,Saminaka,83,,10.41227,8.68748
SOM,Baidoa,84,,3.116667,43.65
SOM,Belet Weyne,85,,4.735833,45.203611
SOM,Borama,86,,9.933056,43.181667
SOM,Bossaso,87,Boosaaso,11.28,49.18
SOM,Buale,88,,1.0833,42.5833
SOM,Galkayo,89,,6.769722,47.430833
SOM,Hargeisa,90,,9.563056,44.0675
SOM,Hudur,91,,4.1833,43.8667
SOM,Kismayo,92,,-0.358056,42.545278
SOM,Marka,93,,1.7766,44.8533
SOM,Mogadishu,94,,2.0667,45.3667
SOM,Qorioley,95,,1.783333,44.533333
SSD,Eastern Equatoria,96,Torit,4.4118,32.5705
SSD,Jonglei,97,,6.2125,31.560833
SSD,Juba,98,,4.83,31.58
SSD,Lakes,99,Rumbek,6.8,29.6833
SSD,Northern Bahr El Ghazal,100,Aweil,8.7666,27.4
SSD,Unity,101,Bentiu,9.2333,29.8333
