"","ISO3","Country","Province","Market","Address","latitude","longitude","ID"
"1","AFG","Afghanistan","Badakhshan","Fayzabad","Fayzabad, Afghanistan",37.1017088,70.5552362,"AFG1"
"2","AFG","Afghanistan","Badakhshan","Mazar","Mazar, Afghanistan",36.6926167,67.1179511,"AFG2"
"3","AFG","Afghanistan","Bamyan","Bamyan","Bamyan, Afghanistan",34.8100067,67.8212104,"AFG3"
"4","AFG","Afghanistan","Daykundi","Nili","Nili, Afghanistan",33.7148979,66.1653224,"AFG4"
"5","AFG","Afghanistan","Faryab","Maymana","Maymana, Afghanistan",35.91784,64.7755147,"AFG5"
"6","AFG","Afghanistan","Ghor","Ghor","Ghor, Afghanistan",34.0995776,64.905955,"AFG6"
"7","AFG","Afghanistan","Hirat","Hirat","Hirat, Afghanistan",34.352865,62.2040287,"AFG7"
"8","AFG","Afghanistan","Kabul","Kabul","Kabul, Afghanistan",34.5553494,69.207486,"AFG8"
"9","AFG","Afghanistan","Kandahar","Kandahar","Kandahar, Afghanistan",31.628871,65.7371749,"AFG9"
"10","AFG","Afghanistan","Nangarhar","Jalalabad","Jalalabad, Afghanistan",34.4283529,70.4578019,"AFG10"
"11","AFG","Afghanistan","Paktya","Gardez","Gardez, Afghanistan",33.6042793,69.2281531,"AFG11"
"12","DZA","Algeria","Alger","Algiers","Algiers, Algeria",36.753768,3.0587561,"DZA12"
"13","DZA","Algeria","Tindouf","Auserd","Auserd, Algeria",27.6311276,-7.8743128,"DZA13"
"14","DZA","Algeria","Tindouf","Boujdour","Boujdour, Algeria",27.5162359,-8.0093993,"DZA14"
"15","DZA","Algeria","Tindouf","Dakhla","Dakhla, Algeria",34.9967708,-1.8583564,"DZA15"
"16","DZA","Algeria","Tindouf","Layoun","Layoun, Algeria",35.6964276,1.9976315,"DZA16"
"17","DZA","Algeria","Tindouf","Samara","Samara, Algeria",26.741856,-11.6783671,"DZA17"
"18","DZA","Algeria","Tindouf","Tindouf","Tindouf, Algeria",27.6719159,-8.1398003,"DZA18"
"19","AGO","Angola","Luanda","Luanda","Luanda, Angola",-8.8146556,13.2301756,"AGO19"
"20","AGO","Angola","Lunda Norte","Kaxinde","Kaxinde, Angola",-5.0248749,12.3463875,"AGO20"
"21","AGO","Angola",NA,"Huambo, Alemanha","Huambo, Alemanha, Angola",-12.7739761,15.7468535,"AGO21"
"22","AGO","Angola",NA,"Luanda, 30 Market","Luanda, 30 Market, Angola",-8.9590339,13.4782867,"AGO22"
"23","AGO","Angola",NA,"Lubango, Joao de Almeida","Lubango, Joao de Almeida, Angola",-14.9055708,13.5215349,"AGO23"
"24","ARG","Argentina","Buenos Aires D.f.","Buenos Aires","Buenos Aires, Argentina",-34.6036844,-58.3815591,"ARG24"
"25","ARG","Argentina","Buenos Aires D.f.","Greater Buenos Aires","Greater Buenos Aires, Argentina",-34.6037618,-58.381715,"ARG25"
"26","ARG","Argentina","Santa Fe","Rosario","Rosario, Argentina",-32.9587022,-60.6930416,"ARG26"
"27","ARM","Armenia","","Armavir","Armavir, Armenia",40.1555525,44.0388482,"ARM27"
"28","ARM","Armenia","","Artashat","Artashat, Armenia",39.9535181,44.5519782,"ARM28"
"29","ARM","Armenia","","Berd","Berd, Armenia",40.8837788,45.3923464,"ARM29"
"30","ARM","Armenia","","Gavar","Gavar, Armenia",40.3513253,45.1272675,"ARM30"
"31","ARM","Armenia","","Kapan","Kapan, Armenia",39.2077209,46.4067952,"ARM31"
"32","ARM","Armenia","","National Average","National Average, Armenia",37.09024,-95.712891,"ARM32"
"33","ARM","Armenia","","Vanadzor","Vanadzor, Armenia",40.807399,44.4970268,"ARM33"
"34","ARM","Armenia","","Yeghegnadzor","Yeghegnadzor, Armenia",39.7632738,45.3307882,"ARM34"
"35","ARM","Armenia","","Yerevan","Yerevan, Armenia",40.1872023,44.515209,"ARM35"
"36","AZE","Azerbaijan","","National Average","National Average, Azerbaijan",25.9293738,-80.1245163,"AZE36"
"37","BGD","Bangladesh","Barisal","Barisal Division","Barisal Division, Bangladesh",22.3811131,90.3371889,"BGD37"
"38","BGD","Bangladesh","Chittagong","Chittagong Division","Chittagong Division, Bangladesh",23.1793157,91.9881527,"BGD38"
"39","BGD","Bangladesh","Dhaka","Dhaka","Dhaka, Bangladesh",23.810332,90.4125181,"BGD39"
"40","BGD","Bangladesh","Dhaka","Dhaka Division","Dhaka Division, Bangladesh",23.9535742,90.1494988,"BGD40"
"41","BGD","Bangladesh","Khulna","Khulna Division","Khulna Division, Bangladesh",22.8087816,89.2467191,"BGD41"
"42","BGD","Bangladesh","Rajshahi","Rajshahi Division","Rajshahi Division, Bangladesh",24.7105776,88.9413865,"BGD42"
"43","BGD","Bangladesh","Sylhet","Sylhet Division","Sylhet Division, Bangladesh",24.7049811,91.6760691,"BGD43"
"44","IND","Bassas da India","","Agartala","Agartala, Bassas da India",23.831457,91.2867777,"IND44"
"45","IND","Bassas da India","","Agra","Agra, Bassas da India",27.1766701,78.0080745,"IND45"
"46","IND","Bassas da India","","Ahmedabad","Ahmedabad, Bassas da India",23.022505,72.5713621,"IND46"
"47","IND","Bassas da India","","Aizwal","Aizwal, Bassas da India",-21.4663655,39.7046052,"IND47"
"48","IND","Bassas da India","","Amritsar","Amritsar, Bassas da India",31.6199803,74.8764849,"IND48"
"49","IND","Bassas da India","","Bathinda","Bathinda, Bassas da India",30.210994,74.9454745,"IND49"
"50","IND","Bassas da India","","Bengaluru","Bengaluru, Bassas da India",12.9715987,77.5945627,"IND50"
"51","IND","Bassas da India","","Bhagalpur","Bhagalpur, Bassas da India",25.242453,86.9842256,"IND51"
"52","IND","Bassas da India","","Bhopal","Bhopal, Bassas da India",23.2599333,77.412615,"IND52"
